ra,dec,parallax,teff,radius,luminosity,phot_g_mean_mag,feh,x,y,z,processed_feh
130.01718011409892,19.784386378937807,4.873260766714452,5050.3,1.0360337,0.62908757,11.840009,-0.003,-0.12415956270037376,0.1478775321496033,0.0694568842725036,-0.003
130.02026224905268,19.729203330647803,5.1596506670995765,6523.0,1.4960147,3.65053,9.68812,-0.002,-0.11731609104259222,0.13971150280642283,0.06542595585248304,-0.002
130.0263208823676,19.307312071249807,5.335657202745391,5376.0,1.3112314,1.2938693,10.803354,-0.148,-0.1137570258092136,0.1354439336245132,0.06196703143953405,-0.148
130.02657947132394,20.00773569688166,5.316194371046439,5047.947,13.151215,101.17787,6.1356826,-0.092,-0.11367660744746533,0.13534694376208126,0.0643593870737352,-0.092
130.03194597032243,21.0626679372365,5.448246394304286,6743.125,1.6335481,4.9705386,9.235237,,-0.11017124835974987,0.13114840858142968,0.06596413297354507,-0.023170884640623113
130.04017466486263,19.621360973794015,5.245219181855012,5372.3335,0.84342295,0.5338723,11.802105,0.039,-0.11552772199689242,0.13748468507651224,0.06402073049944265,0.039
130.04704356350777,17.15599870504181,5.401975133379518,5494.0,0.9103837,0.68029654,11.459988,-0.04,-0.11380794084602794,0.13540508373620896,0.05460490522883794,-0.04
130.05115940111463,19.63947697482392,5.828619178428765,6375.3335,1.3408853,2.6760213,9.761701,-0.011,-0.10397627618842632,0.12368963999549346,0.05766384119049425,-0.011
130.06379441366838,19.994247345945585,5.351792662498999,6618.0,2.16094,8.070252,8.747283,,-0.1130174559540214,0.1343848042459305,0.06388995528000208,-0.023286487678512845
130.0803867259386,19.033943162805237,5.494888576264079,4991.2847,0.92060184,0.47390115,11.900316,-0.532,-0.11076820632039759,0.13163290209744352,0.05935120190953863,-0.532
130.08649259445716,22.753517521991355,9.432984944386147,5389.7,1.0180992,0.7880129,10.102609,-0.067,-0.06295248380179386,0.07479425824972179,0.04100161075885558,-0.067
130.09186119652347,19.66987667881625,5.3705545341453975,4952.0,13.522304,99.06464,6.1590004,-0.055,-0.11291853975573027,0.13413374360642763,0.06267513540885408,-0.055
130.0928103585514,20.10670024031062,5.4169924331150705,6300.233,1.351223,2.5916429,9.956601,0.024,-0.11164438130229518,0.13261573631766865,0.06346132385077294,0.024
130.09448789172427,19.464710489856884,5.213290768964899,6071.825,1.1558564,1.6359855,10.545065,-0.02,-0.116479324684388,0.13835065676869596,0.06391859206116532,-0.02
130.0967836497608,19.673198660659086,5.228680702732673,5924.0,1.3595902,2.051025,10.299312,-0.094,-0.11599187757897993,0.13776047773121042,0.06438618984433361,-0.094
130.10153180637795,18.453761658804076,5.306924411905956,5126.5874,1.1342059,0.8005566,11.377359,-0.44,-0.11513670947685836,0.13672181909837128,0.05964645822961724,-0.44
